Model,Precision,Recall,F1,ROC AUC
Logistic Regression,0.06097560975609756,0.9183673469387755,0.11435832274459974,0.9721687370080279
Decision Tree,0.6761904761904762,0.7244897959183674,0.6995073891625616,0.8619459390396564
Random Forest,0.9382716049382716,0.7755102040816326,0.8491620111731844,0.9612587103637179
